6,"[ 0.    0.31  0.63  0.78  0.93  1.07  1.22  1.37  1.53  1.68  1.84  1.99
  2.15  2.31  2.47  2.63  2.79  2.96  3.12  3.29  3.46  3.63  3.81  3.98
  4.16  4.34  4.52  4.7   4.89  5.08  5.27  5.46  5.65  5.85  6.05  6.25
  6.46  6.66  6.87  7.09  7.31  7.53  7.75  7.98  8.21  8.45  8.69  8.93
  9.18  9.43  9.69  9.96 10.23 10.51 10.79 11.08 11.38 11.68 12.   12.32
 12.65 13.   13.35 13.72 14.1  14.5  14.91 15.34 15.8  16.28 16.79 17.33
 17.92 18.55 19.25 20.03 20.92 21.99]","[0.04622051 0.04557856 0.0450436  0.04450864 0.04440165 0.04386669
 0.04333173 0.04322474 0.04268978 0.04226181 0.04204783 0.04151287
 0.04129888 0.04087091 0.04054994 0.04001498 0.039801   0.03926604
 0.03905205 0.03873108 0.03798213 0.03766116 0.03734018 0.03680522
 0.03637725 0.03627026 0.03562831 0.03509335 0.03477237 0.0344514
 0.03402343 0.03370246 0.0331675  0.03273953 0.03220457 0.0317766
 0.03134863 0.03102766 0.03059969 0.03006473 0.02952977 0.02920879
 0.02867384 0.02824587 0.02771091 0.02717595 0.02674798 0.02621302
 0.02578505 0.02525009 0.02471513 0.02418017 0.02364521 0.02311026
 0.0225753  0.02204034 0.02150538 0.02097042 0.02032847 0.01979351
 0.01915155 0.0185096  0.01797464 0.01733269 0.01669074 0.01604879
 0.01540684 0.01465789 0.01390895 0.013267   0.01251805 0.01166212
 0.01080618 0.00995025 0.00909431 0.00813139 0.00706147 0.00588456]"
7,"[ 0.    0.31  0.63  0.95  1.1   1.43  1.58  1.73  1.89  2.04  2.2   2.36
  2.51  2.68  2.84  3.    3.17  3.33  3.5   3.67  3.85  4.02  4.2   4.38
  4.56  4.74  4.93  5.11  5.3   5.5   5.69  5.89  6.09  6.29  6.5   6.71
  6.92  7.14  7.36  7.58  7.81  8.04  8.28  8.52  8.77  9.02  9.27  9.53
  9.8  10.08 10.36 10.65 10.94 11.25 11.56 11.89 12.22 12.57 12.93 13.3
 13.69 14.1  14.52 14.97 15.45 15.95 16.49 17.08 17.71 18.42 19.21 20.14
 21.28]","[0.04718344 0.04622051 0.04547157 0.04515059 0.04450864 0.04386669
 0.04322474 0.04268978 0.04247579 0.04194083 0.04172685 0.04119189
 0.04087091 0.04033595 0.04001498 0.039801   0.03894506 0.03862408
 0.03830311 0.03798213 0.03766116 0.03701921 0.03648425 0.03616327
 0.0357353  0.03530733 0.03477237 0.03434441 0.03391644 0.03348847
 0.0330605  0.03263254 0.03220457 0.03156262 0.03124164 0.03059969
 0.03027871 0.02974375 0.02920879 0.02867384 0.02824587 0.02771091
 0.02717595 0.02674798 0.02610603 0.02567806 0.02503611 0.02439416
 0.0238592  0.02332424 0.02278928 0.02214733 0.02161237 0.02097042
 0.02032847 0.01968651 0.01904456 0.01840261 0.01776066 0.01701172
 0.01626277 0.01562082 0.01487188 0.01412293 0.01337399 0.01262505
 0.01176911 0.01091318 0.00995025 0.00898732 0.00802439 0.00684748
 0.00556358]"
8,"[ 0.    0.17  0.34  0.51  0.68  0.85  1.03  1.21  1.39  1.57  1.76  1.94
  2.13  2.33  2.52  2.72  2.92  3.12  3.33  3.54  3.76  3.98  4.2   4.42
  4.65  4.89  5.12  5.37  5.62  5.87  6.13  6.4   6.68  6.96  7.25  7.54
  7.85  8.16  8.48  8.82  9.17  9.53  9.91 10.3  10.71 11.14 11.6  12.09
 12.6  13.16 13.76 14.43 15.18 16.05 17.09]","[0.03948002 0.03915904 0.03851709 0.03798213 0.03776815 0.03701921
 0.03659124 0.03648425 0.03584229 0.03541433 0.03498636 0.03455839
 0.03391644 0.03370246 0.0330605  0.03252554 0.03199058 0.03156262
 0.03102766 0.0304927  0.02995774 0.02963676 0.02899481 0.02856684
 0.02803188 0.02738993 0.02685497 0.02632001 0.02578505 0.0251431
 0.02460814 0.02396619 0.02343123 0.02278928 0.02214733 0.02161237
 0.02097042 0.02032847 0.01968651 0.01904456 0.01840261 0.01765367
 0.01690472 0.01626277 0.01551383 0.01465789 0.01390895 0.01305301
 0.01230407 0.01134114 0.01048521 0.00952228 0.00845236 0.00727545
 0.00609854]"
9,"[ 0.    0.32  0.64  0.78  0.93  1.08  1.42  1.57  1.72  1.88  2.04  2.2
  2.36  2.52  2.68  2.84  3.01  3.18  3.35  3.52  3.7   3.87  4.05  4.24
  4.42  4.6   4.79  4.98  5.18  5.37  5.57  5.78  5.98  6.19  6.4   6.62
  6.84  7.06  7.29  7.52  7.76  8.    8.24  8.49  8.75  9.01  9.28  9.56
  9.84 10.13 10.43 10.74 11.05 11.38 11.72 12.07 12.44 12.82 13.21 13.63
 14.07 14.53 15.03 15.56 16.13 16.75 17.45 18.24 19.16 20.32]","[0.04707645 0.04589953 0.04515059 0.04472262 0.04440165 0.04418766
 0.04301075 0.04279677 0.04226181 0.04194083 0.0410849  0.04087091
 0.04054994 0.04022896 0.03990799 0.03926604 0.03894506 0.0384101
 0.03798213 0.03766116 0.03701921 0.03659124 0.03605628 0.03562831
 0.03520034 0.03477237 0.03434441 0.03391644 0.03327449 0.03295351
 0.03231156 0.0317766  0.03134863 0.03081367 0.0304927  0.02974375
 0.02942278 0.02878083 0.02824587 0.0278179  0.02717595 0.02674798
 0.02610603 0.02567806 0.02503611 0.02439416 0.0238592  0.02321725
 0.0225753  0.02214733 0.02139838 0.02075643 0.02011448 0.01947253
 0.01883058 0.01818863 0.01743968 0.01679773 0.0159418  0.01529984
 0.0145509  0.01369497 0.01283903 0.0119831  0.01112716 0.01016423
 0.00909431 0.00802439 0.00684748 0.00545659]"
10,"[ 0.    0.31  0.61  0.93  1.25  1.57  1.72  1.87  2.02  2.17  2.32  2.48
  2.63  2.79  2.95  3.11  3.27  3.44  3.6   3.77  3.94  4.11  4.29  4.46
  4.64  4.82  5.    5.19  5.38  5.57  5.76  5.95  6.15  6.35  6.56  6.77
  6.98  7.19  7.41  7.63  7.86  8.09  8.32  8.56  8.8   9.05  9.31  9.57
  9.84 10.11 10.39 10.68 10.97 11.28 11.6  11.92 12.26 12.61 12.97 13.35
 13.75 14.17 14.6  15.07 15.56 16.09 16.66 17.27 17.96 18.74 19.64 20.77]","[0.04868132 0.04793238 0.04718344 0.04643449 0.04568555 0.04493661
 0.04429466 0.0437597  0.04354571 0.04301075 0.04258278 0.04215482
 0.04151287 0.04151287 0.04087091 0.04054994 0.039801   0.03937303
 0.03905205 0.03851709 0.03808912 0.03776815 0.0371262  0.03691221
 0.03637725 0.03594929 0.03530733 0.03487937 0.0344514  0.03380945
 0.03359546 0.0330605  0.03263254 0.03209758 0.03145563 0.03113465
 0.03059969 0.03006473 0.02952977 0.0291018  0.02845985 0.02792489
 0.02738993 0.02674798 0.02632001 0.02589205 0.0251431  0.02460814
 0.02407318 0.02343123 0.02289627 0.02214733 0.02150538 0.02086342
 0.02022147 0.01957952 0.01893757 0.01829562 0.01743968 0.01679773
 0.01604879 0.01529984 0.0145509  0.01369497 0.01294602 0.01209009
 0.01112716 0.01027122 0.00920131 0.00813139 0.00695447 0.00567057]"
