1,"[ 0.    0.31  0.46  0.6   0.92  1.06  1.21  1.35  1.49  1.83  1.97  2.12
  2.27  2.41  2.56  2.71  2.86  3.01  3.17  3.32  3.47  3.62  3.78  3.93
  4.09  4.25  4.4   4.56  4.72  4.88  5.04  5.2   5.36  5.52  5.69  5.85
  6.01  6.18  6.34  6.51  6.68  6.85  7.02  7.19  7.36  7.54  7.71  7.88
  8.06  8.24  8.41  8.59  8.77  8.96  9.14  9.32  9.5   9.69  9.88 10.06
 10.25 10.44 10.64 10.83 11.02 11.22 11.42 11.61 11.81 12.01 12.22 12.42
 12.62 12.83 13.04 13.25 13.46 13.67 13.89 14.1  14.32 14.54 14.76 14.98
 15.21 15.44 15.67 15.9  16.13 16.36 16.6  16.84 17.08 17.32 17.57 17.82
 18.07 18.32 18.58 18.84 19.1  19.36 19.63 19.9  20.18 20.46 20.74 21.03
 21.31 21.61 21.9  22.21 22.51 22.82 23.14 23.46 23.78 24.11 24.45 24.79
 25.14 25.49 25.86 26.23 26.6  26.99 27.38 27.79 28.2  28.63 29.06 29.51
 29.98 30.46 30.95 32.17]","[0.04696945 0.04643449 0.0463275  0.0463275  0.04579254 0.04557856
 0.04557856 0.04525758 0.0450436  0.04482962 0.04461563 0.04429466
 0.04397368 0.04408067 0.0437597  0.04343872 0.04322474 0.04322474
 0.04290376 0.04268978 0.0423688  0.0423688  0.04215482 0.04183384
 0.04194083 0.04129888 0.04161986 0.0410849  0.0410849  0.04065693
 0.04054994 0.04044295 0.04012197 0.03990799 0.03990799 0.039801
 0.03958701 0.03926604 0.03894506 0.03862408 0.03862408 0.03830311
 0.03808912 0.03776815 0.03766116 0.03744717 0.03734018 0.0371262
 0.03680522 0.03669823 0.03637725 0.03605628 0.03584229 0.03552132
 0.03562831 0.03530733 0.03520034 0.03487937 0.03455839 0.03455839
 0.03413042 0.03391644 0.03359546 0.03348847 0.0331675  0.03295351
 0.03284652 0.03252554 0.03241855 0.03209758 0.03199058 0.03166961
 0.03134863 0.03124164 0.03081367 0.03081367 0.0304927  0.03017172
 0.03006473 0.02985075 0.02952977 0.02942278 0.02899481 0.02899481
 0.02856684 0.02835286 0.02803188 0.0278179  0.02771091 0.02749692
 0.02706896 0.02685497 0.02664099 0.026427   0.02621302 0.02578505
 0.02546408 0.02525009 0.02503611 0.02471513 0.02450115 0.02418017
 0.0238592  0.02353822 0.02321725 0.02300326 0.02268229 0.0224683
 0.02214733 0.02182635 0.02150538 0.0211844  0.02097042 0.02054245
 0.02032847 0.02000749 0.01968651 0.01936554 0.01893757 0.01861659
 0.01829562 0.01797464 0.01754668 0.0172257  0.01690472 0.01658375
 0.01615578 0.01572781 0.01529984 0.01497887 0.0145509  0.01412293
 0.01369497 0.013267   0.01283903 0.0118761 ]"
2,"[ 0.    0.28  0.57  0.85  1.14  1.43  1.73  2.02  2.32  2.63  2.93  3.24
  3.54  3.86  4.17  4.31  4.62  4.77  4.91  5.05  5.19  5.33  5.48  5.8
  5.95  6.1   6.24  6.39  6.54  6.68  6.83  6.98  7.13  7.28  7.43  7.59
  7.74  7.89  8.05  8.2   8.36  8.52  8.67  8.83  8.99  9.15  9.31  9.47
  9.63  9.8   9.96 10.13 10.29 10.46 10.63 10.79 10.96 11.13 11.3  11.48
 11.65 11.82 12.   12.17 12.35 12.53 12.7  12.88 13.06 13.25 13.43 13.61
 13.8  13.98 14.17 14.36 14.55 14.74 14.93 15.13 15.32 15.52 15.71 15.91
 16.11 16.31 16.52 16.72 16.93 17.14 17.34 17.55 17.77 17.98 18.2  18.41
 18.63 18.85 19.08 19.3  19.53 19.76 19.99 20.22 20.45 20.69 20.93 21.17
 21.42 21.66 21.91 22.16 22.42 22.67 22.93 23.2  23.46 23.73 24.   24.28
 24.55 24.84 25.12 25.41 25.7  26.   26.3  26.6  26.91 27.23 27.55 27.87
 28.21 28.54 28.88 29.23 29.58 29.95 30.31 30.69 31.08 31.47 31.87 32.28
 32.71 33.14 33.59 34.05 34.52 35.01 36.23]","[0.052961   0.05274702 0.05178409 0.0516771  0.05157011 0.05092815
 0.05050019 0.04985824 0.04975124 0.04761141 0.0490023  0.04846734
 0.04793238 0.0477184  0.04718344 0.04729043 0.04664848 0.04643449
 0.04611352 0.0463275  0.04557856 0.04579254 0.04579254 0.04515059
 0.04493661 0.04440165 0.04472262 0.04440165 0.04418766 0.04386669
 0.0436527  0.04333173 0.04343872 0.04311774 0.04311774 0.04258278
 0.04247579 0.0423688  0.04226181 0.04204783 0.04140587 0.04140587
 0.04119189 0.0410849  0.04087091 0.04087091 0.04033595 0.04022896
 0.04001498 0.039801   0.039694   0.03915904 0.03905205 0.03883807
 0.03873108 0.03873108 0.03819612 0.03808912 0.03808912 0.03776815
 0.03744717 0.03723319 0.0371262  0.03680522 0.03691221 0.03616327
 0.03637725 0.03605628 0.03594929 0.03552132 0.03541433 0.03498636
 0.03498636 0.03477237 0.03434441 0.0344514  0.03413042 0.03380945
 0.03348847 0.03338148 0.0331675  0.03284652 0.03273953 0.03231156
 0.03231156 0.03209758 0.0317766  0.03156262 0.03124164 0.03113465
 0.03081367 0.03070668 0.03027871 0.03017172 0.02985075 0.02974375
 0.02942278 0.02899481 0.02888782 0.02867384 0.02835286 0.02803188
 0.0278179  0.02760392 0.02738993 0.02706896 0.02685497 0.026534
 0.02632001 0.02610603 0.02578505 0.02546408 0.02525009 0.02503611
 0.02471513 0.02439416 0.02418017 0.0238592  0.02364521 0.02332424
 0.02300326 0.02278928 0.0224683  0.02214733 0.02182635 0.02161237
 0.02129139 0.02097042 0.02064944 0.02032847 0.02000749 0.01968651
 0.01925855 0.01893757 0.01872359 0.01829562 0.01808163 0.01765367
 0.01733269 0.01690472 0.01658375 0.01626277 0.0158348  0.01540684
 0.01497887 0.0145509  0.01422993 0.01380196 0.01337399 0.01294602
 0.0119831 ]"
3,"[ 0.    0.14  0.29  0.44  0.58  0.92  1.07  1.22  1.37  1.52  1.67  1.83
  1.98  2.13  2.29  2.44  2.6   2.75  2.91  3.07  3.23  3.39  3.55  3.71
  3.87  4.03  4.2   4.36  4.53  4.69  4.86  5.02  5.19  5.36  5.53  5.7
  5.88  6.05  6.23  6.4   6.57  6.75  6.93  7.11  7.29  7.47  7.65  7.84
  8.02  8.21  8.39  8.58  8.77  8.96  9.15  9.34  9.54  9.73  9.93 10.13
 10.32 10.52 10.73 10.93 11.13 11.34 11.55 11.76 11.97 12.18 12.39 12.61
 12.82 13.04 13.26 13.49 13.71 13.93 14.16 14.39 14.62 14.86 15.09 15.33
 15.57 15.81 16.06 16.31 16.56 16.81 17.06 17.32 17.58 17.84 18.11 18.38
 18.65 18.93 19.2  19.49 19.77 20.06 20.35 20.65 20.95 21.25 21.56 21.87
 22.19 22.51 22.84 23.17 23.51 23.85 24.2  24.56 24.92 25.29 25.67 26.06
 26.45 26.86 27.27 27.69 28.13 28.57 29.03 29.5  29.99 30.5  31.74]","[0.04515059 0.04515059 0.04482962 0.04472262 0.04440165 0.0437597
 0.04343872 0.04322474 0.04333173 0.04301075 0.04301075 0.04279677
 0.04247579 0.04226181 0.04215482 0.04204783 0.04161986 0.04140587
 0.04140587 0.0410849  0.0410849  0.04054994 0.04054994 0.04022896
 0.04022896 0.04001498 0.039694   0.03937303 0.03937303 0.03915904
 0.03905205 0.03873108 0.03851709 0.03819612 0.03819612 0.03766116
 0.03755416 0.03734018 0.03701921 0.03723319 0.03691221 0.03659124
 0.03627026 0.03627026 0.0357353  0.03584229 0.03530733 0.03530733
 0.03509335 0.03487937 0.03477237 0.0344514  0.03413042 0.03402343
 0.03370246 0.03359546 0.03327449 0.0331675  0.03284652 0.03263254
 0.03263254 0.03209758 0.03199058 0.0317766  0.03156262 0.03134863
 0.03102766 0.03092067 0.03059969 0.03038571 0.03017172 0.02985075
 0.02952977 0.02952977 0.02920879 0.02888782 0.02878083 0.02856684
 0.02824587 0.02792489 0.02771091 0.02749692 0.02728294 0.02696196
 0.02674798 0.026427   0.02621302 0.02599904 0.02567806 0.02546408
 0.0251431  0.02492912 0.02471513 0.02428717 0.02407318 0.02375221
 0.02353822 0.02321725 0.02311026 0.02268229 0.0224683  0.02214733
 0.02182635 0.02161237 0.02139838 0.02107741 0.02075643 0.02054245
 0.02011448 0.01979351 0.01947253 0.01915155 0.01883058 0.0185096
 0.01818863 0.01786765 0.01754668 0.01711871 0.01679773 0.01647676
 0.01615578 0.0158348  0.01540684 0.01508586 0.01465789 0.01422993
 0.01380196 0.01348098 0.01305301 0.01262505 0.01166212]"
4,"[ 0.    0.28  0.57  0.85  1.14  1.43  1.55  1.85  2.14  2.44  2.74  2.87
  3.17  3.48  3.79  3.92  4.24  4.55  4.69  4.83  4.97  5.11  5.25  5.39
  5.54  5.68  5.82  5.97  6.11  6.26  6.4   6.55  6.7   6.85  7.    7.15
  7.29  7.44  7.6   7.75  7.9   8.05  8.21  8.36  8.52  8.67  8.83  8.99
  9.15  9.31  9.47  9.63  9.79  9.95 10.11 10.28 10.44 10.61 10.77 10.94
 11.11 11.28 11.45 11.62 11.79 11.96 12.14 12.31 12.49 12.66 12.84 13.02
 13.2  13.38 13.56 13.74 13.93 14.11 14.3  14.48 14.67 14.86 15.05 15.24
 15.44 15.63 15.83 16.02 16.22 16.42 16.62 16.83 17.03 17.24 17.44 17.65
 17.86 18.07 18.28 18.5  18.71 18.93 19.15 19.37 19.6  19.82 20.05 20.28
 20.51 20.74 20.98 21.21 21.45 21.69 21.94 22.19 22.43 22.68 22.94 23.19
 23.45 23.71 23.98 24.25 24.52 24.79 25.07 25.35 25.64 25.92 26.21 26.51
 26.81 27.11 27.42 27.73 28.05 28.37 28.7  29.03 29.37 29.71 30.06 30.41
 30.77 31.14 31.52 31.9  32.3  32.7  33.11 33.53 33.96 34.41 34.86 35.33
 36.49 37.73]","[0.05317499 0.05274702 0.05253303 0.05199807 0.05146311 0.05146311
 0.05124913 0.05060718 0.05017921 0.04996523 0.04943027 0.04953726
 0.04857433 0.04846734 0.04793238 0.04803937 0.04782539 0.04696945
 0.04696945 0.04675547 0.04643449 0.0463275  0.04600653 0.04568555
 0.04579254 0.04547157 0.04557856 0.04493661 0.0450436  0.04482962
 0.04450864 0.04429466 0.04397368 0.04429466 0.0437597  0.0437597
 0.0437597  0.04322474 0.04290376 0.04268978 0.04268978 0.0423688
 0.0423688  0.04215482 0.04183384 0.04151287 0.04129888 0.04097791
 0.0410849  0.04076392 0.04044295 0.04044295 0.04012197 0.03990799
 0.03990799 0.03958701 0.03958701 0.03926604 0.03894506 0.03873108
 0.03873108 0.03830311 0.03808912 0.03808912 0.03798213 0.03744717
 0.03723319 0.0371262  0.03701921 0.03680522 0.03669823 0.03616327
 0.03605628 0.0357353  0.0357353  0.03530733 0.03509335 0.03498636
 0.03487937 0.03455839 0.03423742 0.03402343 0.03402343 0.03370246
 0.03348847 0.0330605  0.03295351 0.03273953 0.03252554 0.03220457
 0.03199058 0.0317766  0.03156262 0.03145563 0.03124164 0.03092067
 0.03081367 0.03027871 0.03027871 0.03006473 0.02974375 0.02942278
 0.02931579 0.0291018  0.02888782 0.02856684 0.02845985 0.02792489
 0.02792489 0.02749692 0.02738993 0.02706896 0.02685497 0.026534
 0.02632001 0.02599904 0.02589205 0.02557107 0.02525009 0.02503611
 0.02482213 0.02450115 0.02418017 0.0238592  0.02364521 0.02332424
 0.02321725 0.02289627 0.0224683  0.02225432 0.02193334 0.02171936
 0.02139838 0.02107741 0.02075643 0.02043546 0.02022147 0.0199005
 0.01957952 0.01925855 0.01893757 0.01861659 0.01829562 0.01797464
 0.01765367 0.0172257  0.01690472 0.01658375 0.01615578 0.0158348
 0.01551383 0.01508586 0.01476489 0.01433692 0.01390895 0.01358797
 0.01273204 0.01176911]"
5,"[ 0.    0.14  0.29  0.43  0.58  0.73  0.88  1.03  1.18  1.33  1.48  1.63
  1.79  1.94  2.09  2.25  2.4   2.56  2.72  2.87  3.03  3.19  3.35  3.51
  3.67  3.84  4.    4.16  4.33  4.49  4.66  4.83  4.99  5.16  5.33  5.5
  5.68  5.85  6.02  6.2   6.37  6.55  6.73  6.91  7.08  7.26  7.44  7.63
  7.81  7.99  8.18  8.37  8.56  8.74  8.93  9.13  9.32  9.51  9.71  9.9
 10.1  10.3  10.5  10.7  10.91 11.11 11.32 11.53 11.74 11.95 12.16 12.38
 12.59 12.81 13.03 13.25 13.47 13.7  13.92 14.15 14.38 14.62 14.85 15.09
 15.32 15.56 15.81 16.05 16.3  16.55 16.8  17.06 17.32 17.58 17.84 18.11
 18.38 18.65 18.93 19.21 19.49 19.78 20.07 20.36 20.66 20.96 21.26 21.57
 21.89 22.21 22.53 22.86 23.19 23.53 23.88 24.23 24.59 24.95 25.33 25.71
 26.1  26.49 26.9  27.32 27.74 28.18 28.63 29.73 30.91]","[0.04493661 0.0450436  0.04450864 0.04450864 0.04397368 0.04397368
 0.04408067 0.04343872 0.04343872 0.04290376 0.04301075 0.04258278
 0.04268978 0.0423688  0.0423688  0.04215482 0.04183384 0.04151287
 0.04161986 0.04129888 0.04097791 0.04076392 0.04076392 0.04044295
 0.04022896 0.03990799 0.03990799 0.03958701 0.03926604 0.03926604
 0.03926604 0.03862408 0.03830311 0.0384101  0.03808912 0.03798213
 0.03776815 0.03744717 0.03734018 0.03701921 0.03680522 0.03669823
 0.03637725 0.03637725 0.03627026 0.03594929 0.03562831 0.03552132
 0.03530733 0.03498636 0.03466538 0.03477237 0.03423742 0.03413042
 0.03402343 0.03370246 0.03359546 0.03327449 0.0331675  0.03284652
 0.03273953 0.03241855 0.03209758 0.03188359 0.03166961 0.03145563
 0.03113465 0.03092067 0.03059969 0.0304927  0.03017172 0.03017172
 0.02974375 0.02963676 0.02931579 0.02920879 0.02878083 0.02856684
 0.02835286 0.02813888 0.02792489 0.02771091 0.02749692 0.02706896
 0.02696196 0.02664099 0.026427   0.02621302 0.02589205 0.02567806
 0.02535709 0.0251431  0.02482213 0.02460814 0.02428717 0.02407318
 0.02375221 0.02343123 0.02321725 0.02289627 0.0225753  0.02236131
 0.02204034 0.02182635 0.02150538 0.0211844  0.02086342 0.02064944
 0.02032847 0.02000749 0.01968651 0.01936554 0.01915155 0.01883058
 0.0185096  0.01818863 0.01776066 0.01754668 0.01701172 0.01679773
 0.01636976 0.01604879 0.01562082 0.01529984 0.01497887 0.0145509
 0.01412293 0.013267   0.01251805]"
