1,"[ 0.    0.33  0.68  1.03  1.39  1.76  2.14  2.53  2.93  3.1   3.28  3.47
  3.65  3.84  4.03  4.23  4.42  4.62  4.83  5.03  5.25  5.46  5.68  5.9
  6.13  6.36  6.6   6.84  7.09  7.35  7.61  7.88  8.15  8.43  8.72  9.02
  9.33  9.65  9.98 10.33 10.69 11.07 11.46 11.88 12.32 12.79 13.3  13.86
 14.48 15.19 16.03 17.09]","[0.04461563 0.04408067 0.04290376 0.04226181 0.0410849  0.04001498
 0.03915904 0.03798213 0.03701921 0.03648425 0.03594929 0.03530733
 0.03487937 0.03434441 0.03380945 0.03327449 0.03284652 0.03199058
 0.0317766  0.03102766 0.0304927  0.02985075 0.02931579 0.02878083
 0.02824587 0.02749692 0.02696196 0.026427   0.02578505 0.02525009
 0.02450115 0.02407318 0.02332424 0.02268229 0.02193334 0.02129139
 0.02064944 0.02000749 0.01925855 0.0185096  0.01776066 0.01690472
 0.01615578 0.01529984 0.01433692 0.01348098 0.01241106 0.01134114
 0.01016423 0.00898732 0.00759643 0.00588456]"
2,"[ 0.    0.33  0.67  1.01  1.36  1.72  2.09  2.47  2.86  3.26  3.67  3.86
  4.04  4.23  4.42  4.61  4.81  5.01  5.21  5.42  5.63  5.85  6.07  6.29
  6.52  6.75  6.99  7.23  7.48  7.73  7.99  8.26  8.53  8.82  9.11  9.4
  9.71 10.03 10.36 10.71 11.07 11.44 11.84 12.25 12.69 13.16 13.67 14.23
 14.85 15.55]","[0.04568555 0.04472262 0.0437597  0.04279677 0.04183384 0.04097791
 0.03990799 0.03894506 0.03808912 0.03691221 0.03584229 0.03552132
 0.03477237 0.03423742 0.03391644 0.03338148 0.03273953 0.03209758
 0.03166961 0.03102766 0.03038571 0.02974375 0.02931579 0.02867384
 0.02813888 0.02771091 0.02696196 0.026534   0.02589205 0.02525009
 0.02460814 0.02407318 0.02343123 0.02278928 0.02204034 0.02139838
 0.02075643 0.02000749 0.01925855 0.01861659 0.01776066 0.01690472
 0.01615578 0.01540684 0.01444391 0.01348098 0.01241106 0.01144814
 0.01027122 0.00898732]"
3,"[ 0.    0.3   0.61  0.92  1.24  1.57  1.9   2.24  2.59  2.95  3.31  3.69
  4.07  4.46  4.64  4.82  5.    5.18  5.36  5.55  5.74  5.94  6.13  6.33
  6.54  6.75  6.96  7.17  7.39  7.62  7.84  8.08  8.32  8.56  8.81  9.07
  9.33  9.61  9.88 10.17 10.47 10.78 11.09 11.42 11.77 12.12 12.5  12.89
 13.31 13.75 14.22 14.73 15.28 15.9  16.6  17.44]","[0.05007222 0.04910929 0.04846734 0.04718344 0.04643449 0.04525758
 0.04461563 0.04333173 0.04258278 0.04161986 0.04076392 0.03958701
 0.0384101  0.03755416 0.0371262  0.03659124 0.03605628 0.03552132
 0.03477237 0.03434441 0.03380945 0.03327449 0.03263254 0.03209758
 0.03166961 0.03102766 0.0304927  0.02985075 0.02942278 0.02867384
 0.02813888 0.02738993 0.02685497 0.02621302 0.02557107 0.02492912
 0.02428717 0.02364521 0.02300326 0.02225432 0.02150538 0.02086342
 0.02011448 0.01936554 0.01861659 0.01786765 0.01701172 0.01615578
 0.01529984 0.01444391 0.01348098 0.01251805 0.01144814 0.01027122
 0.00898732 0.00759643]"
4,"[ 0.    0.18  0.36  0.54  0.73  0.92  1.11  1.31  1.51  1.71  1.92  2.13
  2.35  2.56  2.79  3.01  3.24  3.48  3.73  3.97  4.23  4.49  4.75  5.03
  5.31  5.61  5.91  6.22  6.54  6.88  7.23  7.6   7.99  8.39  8.83  9.29
  9.79 10.34 10.94 11.62 12.43 13.44]","[0.03659124 0.03616327 0.03541433 0.03487937 0.03455839 0.03402343
 0.03348847 0.03263254 0.03220457 0.03166961 0.03124164 0.0304927
 0.03006473 0.02952977 0.02888782 0.02845985 0.02771091 0.02696196
 0.026427   0.02599904 0.02525009 0.02460814 0.02396619 0.02321725
 0.0225753  0.02182635 0.02107741 0.02043546 0.01968651 0.01893757
 0.01818863 0.01733269 0.01647676 0.01562082 0.01465789 0.01369497
 0.01273204 0.01166212 0.01048521 0.0093083  0.00781041 0.00620553]"
5,"[ 0.    0.29  0.6   0.91  1.22  1.54  1.87  2.21  2.55  2.9   3.27  3.63
  4.01  4.4   4.8   4.98  5.16  5.35  5.53  5.72  5.91  6.11  6.31  6.51
  6.71  6.92  7.14  7.35  7.58  7.8   8.03  8.27  8.51  8.76  9.01  9.27
  9.54  9.81 10.09 10.38 10.68 10.99 11.3  11.64 11.98 12.34 12.71 13.11
 13.52 13.97 14.44 14.95 15.5  16.11 16.81 17.63 18.66]","[0.05082116 0.04985824 0.04868132 0.0477184  0.04686246 0.04600653
 0.04493661 0.04386669 0.04279677 0.04204783 0.04097791 0.03990799
 0.03894506 0.03776815 0.03669823 0.03627026 0.03594929 0.03541433
 0.03466538 0.03413042 0.03359546 0.0330605  0.03252554 0.03188359
 0.03134863 0.03081367 0.03027871 0.02963676 0.02899481 0.02835286
 0.02792489 0.02717595 0.026534   0.02589205 0.02546408 0.02471513
 0.02407318 0.02343123 0.02278928 0.02204034 0.02150538 0.02075643
 0.02000749 0.01925855 0.0185096  0.01776066 0.01701172 0.01615578
 0.01529984 0.01444391 0.01348098 0.01251805 0.01144814 0.01027122
 0.00909431 0.00770342 0.00609854]"
